Dataset,SettlementDate,SettlementPeriod,Time,VolumeMax,NationalGridBmUnit,BmUnit
MDV,2026-01-20,34,2026-01-20T16:31:00Z,73,AG-GFLX09,2__GFLEX009
MDV,2026-01-23,24,2026-01-23T11:30:00Z,-50,WHTBB-1,E_WHTBB-1
MDV,2026-01-22,45,2026-01-22T22:25:00Z,73,AG-GFLX09,2__GFLEX009
MDV,2026-02-03,32,2026-02-03T15:31:00Z,138,NTRVB-1,T_NTRVB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,135,SZJNB-1,T_SZJNB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,55,HFSE02,2__HCMRO002
MDV,2026-02-03,32,2026-02-03T15:31:00Z,22,PNYCB-1,T_PNYCB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,53,TEBWB-1,T_TEBWB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,10,CRSSB-1,E_CRSSB-1
MDV,2026-02-03,32,2026-02-03T15:30:00Z,35,POTES-1,E_POTES-1
MDV,2026-02-03,32,2026-02-03T15:30:00Z,25,FFSE01,2__FCMRO002
MDV,2026-02-03,32,2026-02-03T15:30:00Z,98,BFSE03,2__BCMRO002
MDV,2026-02-03,32,2026-02-03T15:30:00Z,40,FFSE02,2__FCMRO003
MDV,2026-02-10,25,2026-02-10T12:00:00Z,99999,KILSD-1,T_KILSD-1
MDV,2026-02-09,31,2026-02-09T15:19:00Z,158,CAPNB-1,T_CAPNB-1
MDV,2026-02-17,23,2026-02-17T11:04:00Z,64,AG-GFLX06,2__GFLEX006
MDV,2026-02-17,18,2026-02-17T08:43:00Z,64,AG-GFLX06,2__GFLEX006
MDV,2026-02-12,21,2026-02-12T10:29:00Z,76,AG-GFLX09,2__GFLEX009
MDV,2026-02-24,33,2026-02-24T16:08:00Z,49,AG-HAB01J,V__JHABI009
MDV,2026-03-05,23,2026-03-05T11:00:00Z,24,AG-GFLX07,2__GFLEX007
MDV,2026-03-17,26,2026-03-17T12:30:00Z,28,AG-HAB01B,V__BHABI013
MDV,2026-03-17,25,2026-03-17T12:27:00Z,119,AG-HAB02B,V__BHABI012
MDV,2026-03-17,25,2026-03-17T12:26:00Z,18,AG-HAB01D,V__GHABI016
MDV,2026-03-17,25,2026-03-17T12:25:00Z,19,AG-HAB01F,V__FHABI014
MDV,2026-03-17,25,2026-03-17T12:24:00Z,20,AG-HAB03P,V__PHABI015
MDV,2026-03-17,24,2026-03-17T11:44:00Z,20,AG-HAB03P,V__PHABI015
MDV,2026-03-17,24,2026-03-17T11:37:00Z,28,AG-HAB01B,V__BHABI013
MDV,2026-03-17,24,2026-03-17T11:35:00Z,20,AG-HAB01B,V__BHABI013
MDV,2026-03-17,24,2026-03-17T11:32:00Z,119,AG-HAB02B,V__BHABI012
MDV,2026-03-17,23,2026-03-17T11:26:00Z,18,AG-HAB01D,V__GHABI016
MDV,2026-03-17,23,2026-03-17T11:22:00Z,19,AG-HAB01F,V__FHABI014
MDV,2026-03-17,23,2026-03-17T11:03:00Z,1,AG-FLX06M,V__MFLEX001
MDV,2026-03-17,15,2026-03-17T07:05:00Z,1,AG-FLX06M,V__MFLEX001
MDV,2026-03-24,20,2026-03-24T09:44:00Z,11,AG-GBL06G,V__GGBLO001
MDV,2026-03-24,20,2026-03-24T09:44:00Z,10,AG-GBL08H,V__HGBLO001
MDV,2026-03-23,27,2026-03-23T13:25:00Z,2,AG-GBL0EN,V__NGBLO014
MDV,2026-03-23,27,2026-03-23T13:13:00Z,1,AG-GBL0CE,V__EGBLO012
MDV,2026-03-31,28,2026-03-31T12:44:00Z,22,AG-GBL06G,V__GGBLO001
MDV,2026-04-17,19,2026-04-17T08:18:00Z,136,NTRVB-1,T_NTRVB-1
MDV,2026-04-28,31,2026-04-28T14:09:00Z,98,AG-HEL0EP,V__PHABI006
MDV,2026-04-28,31,2026-04-28T14:00:00Z,102,AG-HAB01P,V__PHABI010
MDV,2026-05-07,25,2026-05-07T11:00:00Z,99999,MNFRB-3,
MDV,2026-05-19,32,2026-05-19T14:45:00Z,200,COALB-4,T_COALB-4
MDV,2026-05-19,32,2026-05-19T14:44:00Z,200,COALB-5,T_COALB-5
MDV,2026-05-19,32,2026-05-19T14:43:00Z,200,COALB-5,T_COALB-5
MDV,2026-05-19,32,2026-05-19T14:38:00Z,200,COALB-2,T_COALB-2
MDV,2026-05-19,32,2026-05-19T14:37:00Z,200,COALB-3,T_COALB-3
MDV,2026-05-19,32,2026-05-19T14:37:00Z,120,COALB-2,T_COALB-2
MDV,2026-05-19,32,2026-05-19T14:35:00Z,200,COALB-2,T_COALB-2
MDV,2026-05-19,31,2026-05-19T14:28:00Z,200,COALB-1,T_COALB-1
MDV,2026-05-19,31,2026-05-19T14:26:00Z,120,COALB-1,T_COALB-1
MDV,2026-05-19,31,2026-05-19T14:25:00Z,200,COALB-1,T_COALB-1
MDV,2026-05-14,22,2026-05-14T09:38:00Z,100,BROXB-1,E_BROXB-1
MDV,2026-06-06,37,2026-06-06T17:04:00Z,5,AG-OPT01N,V__NOPTI001
MDV,2026-06-06,37,2026-06-06T17:00:00Z,5,AG-OPT01A,V__AOPTI001
MDV,2026-06-06,36,2026-06-06T16:58:00Z,5,AG-OPT01N,V__NOPTI001
MDV,2026-06-12,22,2026-06-12T09:35:00Z,100,CATHB-1,E_CATHB-1
MDV,2026-06-25,19,2026-06-25T08:03:00Z,2,AG-OPT01N,V__NOPTI001
MDV,2026-06-25,19,2026-06-25T08:03:00Z,2,AG-OPT01N,V__NOPTI001
MDV,2026-06-25,19,2026-06-25T08:03:00Z,2,AG-OPT01N,V__NOPTI001
MDV,2026-01-20,34,2026-01-20T16:31:00Z,73,AG-GFLX09,2__GFLEX009
MDV,2026-01-23,24,2026-01-23T11:30:00Z,-50,WHTBB-1,E_WHTBB-1
MDV,2026-01-22,45,2026-01-22T22:25:00Z,73,AG-GFLX09,2__GFLEX009
MDV,2026-02-03,32,2026-02-03T15:31:00Z,138,NTRVB-1,T_NTRVB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,135,SZJNB-1,T_SZJNB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,55,HFSE02,2__HCMRO002
MDV,2026-02-03,32,2026-02-03T15:31:00Z,22,PNYCB-1,T_PNYCB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,53,TEBWB-1,T_TEBWB-1
MDV,2026-02-03,32,2026-02-03T15:31:00Z,10,CRSSB-1,E_CRSSB-1
MDV,2026-02-03,32,2026-02-03T15:30:00Z,35,POTES-1,E_POTES-1
MDV,2026-02-03,32,2026-02-03T15:30:00Z,25,FFSE01,2__FCMRO002
MDV,2026-02-03,32,2026-02-03T15:30:00Z,98,BFSE03,2__BCMRO002
MDV,2026-02-03,32,2026-02-03T15:30:00Z,40,FFSE02,2__FCMRO003
MDV,2026-02-10,25,2026-02-10T12:00:00Z,99999,KILSD-1,T_KILSD-1
MDV,2026-02-09,31,2026-02-09T15:19:00Z,158,CAPNB-1,T_CAPNB-1
MDV,2026-02-17,23,2026-02-17T11:04:00Z,64,AG-GFLX06,2__GFLEX006
MDV,2026-02-17,18,2026-02-17T08:43:00Z,64,AG-GFLX06,2__GFLEX006
MDV,2026-02-12,21,2026-02-12T10:29:00Z,76,AG-GFLX09,2__GFLEX009
MDV,2026-02-24,33,2026-02-24T16:08:00Z,49,AG-HAB01J,V__JHABI009
MDV,2026-03-05,23,2026-03-05T11:00:00Z,24,AG-GFLX07,2__GFLEX007
MDV,2026-03-17,26,2026-03-17T12:30:00Z,28,AG-HAB01B,V__BHABI013
MDV,2026-03-17,25,2026-03-17T12:27:00Z,119,AG-HAB02B,V__BHABI012
MDV,2026-03-17,25,2026-03-17T12:26:00Z,18,AG-HAB01D,V__GHABI016
MDV,2026-03-17,25,2026-03-17T12:25:00Z,19,AG-HAB01F,V__FHABI014
MDV,2026-03-17,25,2026-03-17T12:24:00Z,20,AG-HAB03P,V__PHABI015
MDV,2026-03-17,24,2026-03-17T11:44:00Z,20,AG-HAB03P,V__PHABI015
MDV,2026-03-17,24,2026-03-17T11:37:00Z,28,AG-HAB01B,V__BHABI013
MDV,2026-03-17,24,2026-03-17T11:35:00Z,20,AG-HAB01B,V__BHABI013
MDV,2026-03-17,24,2026-03-17T11:32:00Z,119,AG-HAB02B,V__BHABI012
MDV,2026-03-17,23,2026-03-17T11:26:00Z,18,AG-HAB01D,V__GHABI016
MDV,2026-03-17,23,2026-03-17T11:22:00Z,19,AG-HAB01F,V__FHABI014
MDV,2026-03-17,23,2026-03-17T11:03:00Z,1,AG-FLX06M,V__MFLEX001
MDV,2026-03-17,15,2026-03-17T07:05:00Z,1,AG-FLX06M,V__MFLEX001
MDV,2026-03-24,20,2026-03-24T09:44:00Z,11,AG-GBL06G,V__GGBLO001
MDV,2026-03-24,20,2026-03-24T09:44:00Z,10,AG-GBL08H,V__HGBLO001
MDV,2026-03-23,27,2026-03-23T13:25:00Z,2,AG-GBL0EN,V__NGBLO014
MDV,2026-03-23,27,2026-03-23T13:13:00Z,1,AG-GBL0CE,V__EGBLO012
MDV,2026-03-31,28,2026-03-31T12:44:00Z,22,AG-GBL06G,V__GGBLO001
MDV,2026-04-17,19,2026-04-17T08:18:00Z,136,NTRVB-1,T_NTRVB-1
MDV,2026-04-28,31,2026-04-28T14:09:00Z,98,AG-HEL0EP,V__PHABI006
MDV,2026-04-28,31,2026-04-28T14:00:00Z,102,AG-HAB01P,V__PHABI010
MDV,2026-05-07,25,2026-05-07T11:00:00Z,99999,MNFRB-3,
MDV,2026-05-19,32,2026-05-19T14:45:00Z,200,COALB-4,T_COALB-4
MDV,2026-05-19,32,2026-05-19T14:44:00Z,200,COALB-5,T_COALB-5
MDV,2026-05-19,32,2026-05-19T14:43:00Z,200,COALB-5,T_COALB-5
MDV,2026-05-19,32,2026-05-19T14:38:00Z,200,COALB-2,T_COALB-2
MDV,2026-05-19,32,2026-05-19T14:37:00Z,200,COALB-3,T_COALB-3
MDV,2026-05-19,32,2026-05-19T14:37:00Z,120,COALB-2,T_COALB-2
MDV,2026-05-19,32,2026-05-19T14:35:00Z,200,COALB-2,T_COALB-2
MDV,2026-05-19,31,2026-05-19T14:28:00Z,200,COALB-1,T_COALB-1
MDV,2026-05-19,31,2026-05-19T14:26:00Z,120,COALB-1,T_COALB-1
MDV,2026-05-19,31,2026-05-19T14:25:00Z,200,COALB-1,T_COALB-1
MDV,2026-05-14,22,2026-05-14T09:38:00Z,100,BROXB-1,E_BROXB-1
MDV,2026-06-06,37,2026-06-06T17:04:00Z,5,AG-OPT01N,V__NOPTI001
MDV,2026-06-06,37,2026-06-06T17:00:00Z,5,AG-OPT01A,V__AOPTI001
MDV,2026-06-06,36,2026-06-06T16:58:00Z,5,AG-OPT01N,V__NOPTI001
MDV,2026-06-12,22,2026-06-12T09:35:00Z,100,CATHB-1,E_CATHB-1
MDV,2026-06-25,19,2026-06-25T08:03:00Z,2,AG-OPT01N,V__NOPTI001
