Dataset,PublishTime,ForecastDate,Margin
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
OCNMFD2,2026-06-26T15:00:00Z,2026-06-28,15754
OCNMFD2,2026-06-26T15:00:00Z,2026-06-29,6274
OCNMFD2,2026-06-26T15:00:00Z,2026-06-30,3586
OCNMFD2,2026-06-26T15:00:00Z,2026-07-01,11097
OCNMFD2,2026-06-26T15:00:00Z,2026-07-02,8462
OCNMFD2,2026-06-26T15:00:00Z,2026-07-03,11572
OCNMFD2,2026-06-26T15:00:00Z,2026-07-04,16648
OCNMFD2,2026-06-26T15:00:00Z,2026-07-05,16118
OCNMFD2,2026-06-26T15:00:00Z,2026-07-06,13379
OCNMFD2,2026-06-26T15:00:00Z,2026-07-07,13306
OCNMFD2,2026-06-26T15:00:00Z,2026-07-08,11322
OCNMFD2,2026-06-26T15:00:00Z,2026-07-09,10537
OCNMFD2,2026-06-26T15:00:00Z,2026-07-10,11094
